   CMIP5ModelName    RCP2.6   4.5    6.0    8.5
 MEAN PRECIP
ALA DJF
      HadGEM2-ES     0.20   0.38   0.42   0.63
       ACCESS1-0      NaN   0.31    NaN   0.48
       ACCESS1-3      NaN   0.42    NaN   0.53
      bcc-csm1-1     0.33   0.41   0.41   0.59
    bcc-csm1-1-m     0.13   0.27   0.20   0.29
         BNU-ESM     0.23   0.39    NaN   0.82
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.24   0.23    NaN   0.45
      CESM1-CAM5     0.14   0.22   0.18   0.38
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.37
         CMCC-CM      NaN   0.26    NaN   0.42
        CMCC-CMS      NaN   0.21    NaN   0.47
           CCSM4     0.11   0.16   0.09   0.43
        CNRM-CM5     0.14   0.22    NaN   0.33
   CSIRO-Mk3-6-0     0.23   0.33   0.22   0.42
        EC-EARTH      NaN    NaN    NaN   0.44
       FGOALS-g2     0.06   0.10    NaN   0.14
         FIO-ESM     0.13   0.21   0.28   0.49
        GFDL-CM3     0.27   0.32   0.47   0.68
      GFDL-ESM2G     0.10   0.25   0.27   0.53
      GFDL-ESM2M     0.14   0.26   0.33   0.42
       GISS-E2-R     0.06   0.14   0.16   0.23
       GISS-E2-H     0.08   0.17   0.18   0.28
    GISS-E2-R-CC      NaN   0.14    NaN    NaN
    GISS-E2-H-CC      NaN   0.16    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.21    NaN   0.53
      HadGEM2-AO     0.14   0.34   0.35   0.54
          inmcm4      NaN   0.16    NaN   0.24
    IPSL-CM5A-LR     0.18   0.27   0.30   0.39
    IPSL-CM5A-MR     0.19   0.13   0.20   0.42
    IPSL-CM5B-LR      NaN   0.17    NaN   0.24
          MIROC5     0.22   0.21   0.25   0.33
       MIROC-ESM     0.37   0.36   0.50   0.72
  MIROC-ESM-CHEM     0.40   0.50   0.52   0.82
      MPI-ESM-LR     0.19   0.22    NaN   0.49
      MPI-ESM-MR     0.21   0.30    NaN   0.57
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.12   0.16   0.22   0.19
       NorESM1-M     0.11   0.21   0.15   0.40
      NorESM1-ME    -0.01   0.11   0.12   0.33
ALA MAM
      HadGEM2-ES     0.22   0.40   0.37   0.57
       ACCESS1-0      NaN   0.24    NaN   0.46
       ACCESS1-3      NaN   0.32    NaN   0.57
      bcc-csm1-1     0.11   0.23   0.25   0.37
    bcc-csm1-1-m     0.05   0.18   0.24   0.33
         BNU-ESM     0.23   0.21    NaN   0.41
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.18   0.24    NaN   0.45
      CESM1-CAM5     0.08   0.12   0.10   0.18
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.19
         CMCC-CM      NaN   0.31    NaN   0.36
        CMCC-CMS      NaN   0.22    NaN   0.39
           CCSM4     0.10   0.17   0.12   0.27
        CNRM-CM5     0.09   0.14    NaN   0.29
   CSIRO-Mk3-6-0     0.18   0.23   0.19   0.37
        EC-EARTH      NaN    NaN    NaN   0.46
       FGOALS-g2     0.10   0.15    NaN   0.27
         FIO-ESM     0.09   0.11   0.14   0.11
        GFDL-CM3     0.23   0.26   0.35   0.44
      GFDL-ESM2G     0.05   0.14   0.16   0.30
      GFDL-ESM2M     0.07   0.10   0.16   0.18
       GISS-E2-R     0.05   0.09   0.13   0.19
       GISS-E2-H     0.04   0.12   0.10   0.19
    GISS-E2-R-CC      NaN   0.11    NaN    NaN
    GISS-E2-H-CC      NaN   0.13    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.34    NaN   0.49
      HadGEM2-AO     0.12   0.28   0.21   0.43
          inmcm4      NaN   0.19    NaN   0.31
    IPSL-CM5A-LR     0.06   0.18   0.15   0.13
    IPSL-CM5A-MR     0.04   0.11   0.12   0.21
    IPSL-CM5B-LR      NaN  -0.01    NaN   0.01
          MIROC5     0.17   0.23   0.25   0.31
       MIROC-ESM     0.22   0.30   0.30   0.46
  MIROC-ESM-CHEM     0.21   0.29   0.33   0.57
      MPI-ESM-LR     0.14   0.14    NaN   0.37
      MPI-ESM-MR     0.09   0.16    NaN   0.38
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.11   0.17   0.14   0.28
       NorESM1-M     0.04   0.11   0.13   0.26
      NorESM1-ME     0.03   0.11   0.12   0.26
ALA JJA
      HadGEM2-ES     0.30   0.40   0.41   0.44
       ACCESS1-0      NaN   0.33    NaN   0.45
       ACCESS1-3      NaN   0.37    NaN   0.52
      bcc-csm1-1     0.20   0.27   0.30   0.53
    bcc-csm1-1-m     0.21   0.22   0.24   0.35
         BNU-ESM     0.19   0.36    NaN   0.65
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.36   0.31    NaN   0.53
      CESM1-CAM5     0.10   0.16   0.15   0.35
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.53
         CMCC-CM      NaN   0.25    NaN   0.36
        CMCC-CMS      NaN   0.21    NaN   0.36
           CCSM4     0.16   0.19   0.19   0.47
        CNRM-CM5     0.19   0.28    NaN   0.46
   CSIRO-Mk3-6-0     0.18   0.24   0.29   0.38
        EC-EARTH      NaN    NaN    NaN   0.29
       FGOALS-g2     0.13   0.20    NaN   0.31
         FIO-ESM    -0.05   0.02   0.08   0.27
        GFDL-CM3     0.63   0.77   0.81   1.01
      GFDL-ESM2G     0.08   0.17   0.15   0.30
      GFDL-ESM2M     0.16   0.16   0.21   0.27
       GISS-E2-R     0.07   0.20   0.24   0.32
       GISS-E2-H     0.07   0.23   0.22   0.31
    GISS-E2-R-CC      NaN   0.22    NaN    NaN
    GISS-E2-H-CC      NaN   0.26    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.36    NaN   0.44
      HadGEM2-AO     0.20   0.31   0.17   0.30
          inmcm4      NaN   0.33    NaN   0.65
    IPSL-CM5A-LR     0.18   0.27   0.23   0.42
    IPSL-CM5A-MR     0.14   0.19   0.16   0.24
    IPSL-CM5B-LR      NaN   0.05    NaN   0.07
          MIROC5     0.10   0.29   0.15   0.29
       MIROC-ESM     0.25   0.44   0.36   0.60
  MIROC-ESM-CHEM     0.27   0.35   0.42   0.63
      MPI-ESM-LR     0.18   0.23    NaN   0.35
      MPI-ESM-MR     0.04   0.20    NaN   0.37
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.21   0.36   0.39   0.62
       NorESM1-M     0.22   0.27   0.24   0.32
      NorESM1-ME     0.26   0.29   0.33   0.45
ALA SON
      HadGEM2-ES     0.32   0.47   0.54   0.76
       ACCESS1-0      NaN   0.35    NaN   0.52
       ACCESS1-3      NaN   0.40    NaN   0.70
      bcc-csm1-1     0.35   0.46   0.46   0.69
    bcc-csm1-1-m     0.26   0.43   0.48   0.78
         BNU-ESM     0.25   0.28    NaN   0.51
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.40   0.43    NaN   0.86
      CESM1-CAM5     0.16   0.31   0.32   0.60
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.71
         CMCC-CM      NaN   0.39    NaN   0.70
        CMCC-CMS      NaN   0.39    NaN   0.72
           CCSM4     0.17   0.23   0.41   0.58
        CNRM-CM5     0.16   0.26    NaN   0.35
   CSIRO-Mk3-6-0     0.26   0.28   0.38   0.60
        EC-EARTH      NaN    NaN    NaN   0.56
       FGOALS-g2     0.16   0.29    NaN   0.58
         FIO-ESM     0.13   0.20   0.20   0.29
        GFDL-CM3     0.45   0.65   0.66   0.87
      GFDL-ESM2G     0.17   0.33   0.33   0.53
      GFDL-ESM2M     0.15   0.29   0.36   0.42
       GISS-E2-R     0.14   0.26   0.25   0.42
       GISS-E2-H     0.09   0.17   0.18   0.26
    GISS-E2-R-CC      NaN   0.19    NaN    NaN
    GISS-E2-H-CC      NaN   0.22    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.45    NaN   0.79
      HadGEM2-AO     0.32   0.45   0.44   0.64
          inmcm4      NaN   0.28    NaN   0.51
    IPSL-CM5A-LR     0.17   0.42   0.37   0.70
    IPSL-CM5A-MR     0.26   0.38   0.39   0.67
    IPSL-CM5B-LR      NaN   0.21    NaN   0.53
          MIROC5     0.31   0.32   0.38   0.61
       MIROC-ESM     0.42   0.50   0.63   0.85
  MIROC-ESM-CHEM     0.42   0.52   0.60   0.88
      MPI-ESM-LR     0.22   0.26    NaN   0.67
      MPI-ESM-MR     0.22   0.33    NaN   0.77
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.14   0.27   0.28   0.51
       NorESM1-M     0.19   0.26   0.31   0.51
      NorESM1-ME     0.29   0.35   0.36   0.56
ALA ANN
      HadGEM2-ES     0.26   0.41   0.43   0.60
       ACCESS1-0      NaN   0.31    NaN   0.48
       ACCESS1-3      NaN   0.38    NaN   0.58
      bcc-csm1-1     0.24   0.34   0.36   0.54
    bcc-csm1-1-m     0.16   0.28   0.29   0.44
         BNU-ESM     0.22   0.31    NaN   0.60
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.29   0.30    NaN   0.57
      CESM1-CAM5     0.12   0.20   0.19   0.38
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.45
         CMCC-CM      NaN   0.30    NaN   0.46
        CMCC-CMS      NaN   0.26    NaN   0.49
           CCSM4     0.13   0.19   0.20   0.43
        CNRM-CM5     0.14   0.22    NaN   0.35
   CSIRO-Mk3-6-0     0.21   0.27   0.27   0.44
        EC-EARTH      NaN    NaN    NaN   0.44
       FGOALS-g2     0.11   0.18    NaN   0.33
         FIO-ESM     0.08   0.13   0.17   0.29
        GFDL-CM3     0.38   0.50   0.57   0.75
      GFDL-ESM2G     0.10   0.22   0.23   0.41
      GFDL-ESM2M     0.13   0.20   0.27   0.32
       GISS-E2-R     0.07   0.17   0.19   0.29
       GISS-E2-H     0.08   0.17   0.17   0.26
    GISS-E2-R-CC      NaN   0.16    NaN    NaN
    GISS-E2-H-CC      NaN   0.19    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.34    NaN   0.56
      HadGEM2-AO     0.21   0.35   0.29   0.47
          inmcm4      NaN   0.24    NaN   0.42
    IPSL-CM5A-LR     0.15   0.28   0.26   0.41
    IPSL-CM5A-MR     0.14   0.20   0.22   0.38
    IPSL-CM5B-LR      NaN   0.11    NaN   0.21
          MIROC5     0.20   0.26   0.25   0.39
       MIROC-ESM     0.32   0.40   0.45   0.66
  MIROC-ESM-CHEM     0.33   0.42   0.47   0.73
      MPI-ESM-LR     0.16   0.21    NaN   0.47
      MPI-ESM-MR     0.12   0.25    NaN   0.52
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.16   0.24   0.26   0.40
       NorESM1-M     0.14   0.21   0.21   0.37
      NorESM1-ME     0.15   0.21   0.23   0.40
CGI DJF
      HadGEM2-ES     0.12   0.32   0.28   0.51
       ACCESS1-0      NaN   0.23    NaN   0.40
       ACCESS1-3      NaN   0.20    NaN   0.37
      bcc-csm1-1     0.20   0.27   0.31   0.45
    bcc-csm1-1-m     0.18   0.24   0.27   0.40
         BNU-ESM     0.13   0.22    NaN   0.42
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.25   0.28    NaN   0.43
      CESM1-CAM5     0.08   0.06   0.15   0.16
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.36
         CMCC-CM      NaN   0.26    NaN   0.36
        CMCC-CMS      NaN   0.23    NaN   0.44
           CCSM4     0.14   0.17   0.17   0.23
        CNRM-CM5     0.06   0.12    NaN   0.27
   CSIRO-Mk3-6-0    -0.05  -0.02   0.08   0.18
        EC-EARTH      NaN    NaN    NaN   0.33
       FGOALS-g2     0.10   0.12    NaN   0.30
         FIO-ESM    -0.26  -0.02   0.03   0.21
        GFDL-CM3     0.15   0.26   0.30   0.49
      GFDL-ESM2G    -0.03   0.03   0.06   0.22
      GFDL-ESM2M     0.00   0.04   0.09   0.12
       GISS-E2-R    -0.08   0.04   0.05   0.07
       GISS-E2-H     0.08   0.18   0.20   0.23
    GISS-E2-R-CC      NaN  -0.10    NaN    NaN
    GISS-E2-H-CC      NaN   0.09    NaN    NaN
