GISS-E2-H-CC	Amon	tauu
MRI-AGCM3.2S	Amon	rsus
NorESM1-M	OImon	tsice
BCC-CSM1.1	Amon	rsus
IPSL-CM5B-LR	cfMon	clhcalipso
ACCESS1.3	Amon	tasmax
CanAM4	cfSites	tntc
BNU-ESM	Lmon	rh
CNRM-CM5	Oyr	ph
NorESM1-M	Amon	huss
MRI-CGCM3	OImon	strocnx
GEOS-5	Amon	tasmin
INM-CM4	day	ta
GFDL-CM3	3hr	rsds
ACCESS1.3	fx	orog
CSIRO-Mk3.6.0	aero	concdms
NorESM1-ME	Lmon	cWood
CCSM4	3hr	tas
MPI-ESM-P	Oclim	difvho
CFSv2-2011	Amon	uas
GFDL-ESM2M	Omon	prsn
CanCM4	day	sfcWindmax
IPSL-CM5B-LR	Omon	vsfsit
MRI-CGCM3	Amon	prsn
ACCESS1.0	aero	sconcdust
HadGEM2-ES	Oyr	dissic
HadGEM2-A	cfSites	rlu
HadGEM2-ES	cfDay	rsuscs
NorESM1-ME	Lmon	mrsos
NorESM1-M	aero	sconcbc
MRI-CGCM3	cfDay	mc
MPI-ESM-LR	Amon	rlus
GFDL-CM3	aero	emiso2
CMCC-CMS	fx	areacella
MIROC-ESM-CHEM	cfMon	hus
ACCESS1.3	Amon	cl
MRI-CGCM3	cfOff	cfadDbze94
MIROC-ESM-CHEM	Lmon	npp
HadGEM2-ES	Amon	hur
FIO-ESM	Omon	spco2
CCSM4	day	tos
NorESM1-ME	Lmon	fHarvest
CNRM-CM5	cfDay	clwvi
CCSM4	day	prc
MIROC-ESM-CHEM	cfDay	ta700
ACCESS1.0	day	rlus
GFDL-ESM2M	OImon	transifs
MRI-ESM1	OImon	strocny
GISS-E2-H	Amon	rlutcs
CSIRO-Mk3.6.0	day	huss
MIROC-ESM	cfDay	albisccp
MRI-ESM1	aero	wetss
HadGEM2-A	cfOff	cltcalipso
IPSL-CM5A-MR	cfSites	hfls
MIROC-ESM	OImon	grFrazil
GFDL-CM3	Omon	hfibthermds
INM-CM4	Omon	rsntds
GFDL-ESM2G	Oyr	pbfe
GISS-E2-R	cfDay	cltcalipso
NorESM1-M	Lmon	burntArea
HadGEM2-A	aero	emibc
CESM1(BGC)	Lmon	fLuc
BNU-ESM	3hr	ps
BNU-ESM	Oyr	ph
CESM1(WACCM)	Amon	evspsbl
CCSM4	Lmon	fLuc
GISS-E2-R	Amon	prsn
HadGEM2-CC	day	psl
GISS-E2-R-CC	Lmon	npp
GISS-E2-R-CC	Lmon	mrso
IPSL-CM5B-LR	Lmon	nppLeaf
MRI-AGCM3.2S	fx	sftlf
NorESM1-M	Omon	omlmax
CCSM4	Omon	rlds
MPI-ESM-LR	Omon	calc
CanAM4	day	rsus
CSIRO-Mk3.6.0	Amon	ts
MRI-CGCM3	6hrPlev	psl
GEOS-5	Amon	wap
CNRM-CM5	OImon	strocny
CMCC-CMS	OImon	snd
MIROC5	Amon	clivi
NorESM1-M	6hrLev	ps
CCSM4	Amon	rlut
CESM1(FASTCHEM)	Amon	rlut
MPI-ESM-LR	cfDay	clwvi
CESM1(BGC)	Omon	frn
GFDL-ESM2G	Omon	dpco2
MIROC5	6hrPlev	ua
CNRM-CM5	Omon	mlotst
BCC-CSM1.1	cfSites	prc
HadGEM2-A	cfDay	clisccp
MIROC-ESM-CHEM	fx	orog
GISS-E2-R-CC	Lmon	evspsblsoi
FGOALS-s2	Lmon	prveg
IPSL-CM5A-LR	day	tossq
HadGEM2-CC	Omon	dissic
MRI-CGCM3	day	snw
MRI-CGCM3	Amon	prc
MRI-CGCM3	cfSites	tnhusd
IPSL-CM5A-MR	cfSites	vas
CMCC-CESM	Omon	tauvo
CNRM-CM5	Omon	hfevapds
BNU-ESM	Lmon	shrubFrac
IPSL-CM5B-LR	Lmon	c4PftFrac
EC-EARTH	day	rsds
MIROC4h	3hr	hfss
GFDL-ESM2G	Omon	hfds
IPSL-CM5A-MR	day	huss
GISS-E2-H	aero	sconcno3
HadGEM2-ES	cfMon	rsutcs4co2
MRI-CGCM3	cfSites	hurs
GISS-E2-H-CC	Lmon	ra
CESM1(WACCM)	Amon	va
CanESM2	cfDay	clwvi
MPI-ESM-MR	Amon	rsdscs
NorESM1-ME	fx	volcello
HadGEM2-ES	cfMon	albisccp
MIROC-ESM	OImon	transiy
MIROC-ESM	3hr	uas
