Models,Variables,N
59,13,13
58,5,18
57,10,28
56,2,30
55,4,34
54,5,39
53,5,44
52,3,47
51,4,51
50,5,56
49,1,57
48,6,63
47,6,69
46,1,70
45,1,71
44,3,74
43,2,76
42,6,82
41,7,89
40,7,96
39,1,97
38,5,102
37,7,109
36,6,115
35,2,117
34,5,122
32,7,129
31,7,136
30,4,140
28,6,146
27,12,158
26,10,168
25,9,177
24,5,182
23,6,188
22,6,194
21,8,202
20,11,213
19,27,240
18,21,261
17,11,272
16,16,288
15,23,311
14,12,323
13,8,331
12,7,338
11,3,341
10,4,345
9,14,359
8,19,378
7,25,403
6,3,406
5,13,419
4,14,433
3,6,439
2,4,443
1,8,451
0,14,465
