apps.ecmwf.int	136.156.180.59	ORG-CEOf1-RIPE
apps.ipcc-data.org	130.246.191.208	
badc.nerc.ac.uk	130.246.130.64	
cdiac.esd.ornl.gov	130.246.130.64	
cdiac.ornl.gov	130.246.130.64	
climate-adapt.eea.europa.eu	87.54.7.142	
cmip-pcmdi.llnl.gov	198.128.245.178	ORG-STFC1-RIPE
data.giss.nasa.gov	129.164.128.233	
disc.sci.gsfc.nasa.gov	198.118.197.43	
dx.doi.org	172.67.72.147	
ftp.dwd.de	141.38.3.177	
ftp.ncdc.noaa.gov	205.167.25.137	
github.com	140.82.121.3	
icoads.noaa.gov	99.86.255.22	ORG-STFC1-RIPE
ipcc.ch	172.67.16.59	
jra.kishou.go.jp	202.245.36.26	
luh.umd.edu	128.8.149.136	
mms.dkrz.de	136.172.11.34	
rda.ucar.edu	128.117.181.113	National Aeronautics and Space Administration (NASA)
sedac.ciesin.columbia.edu	129.236.39.166	Cloudflare, Inc. (CLOUD14)
sedac.ipcc-data.org	129.236.39.66	
sourcesup.renater.fr	194.57.3.17	University of Maryland (UNIVER-262-Z)
sres.ciesin.org	129.236.39.66	
themasites.pbl.nl	192.87.39.183	
trac.osgeo.org	140.211.15.30	
unfccc.int	107.154.114.9	
validator.w3.org	128.30.52.39	
www-pcmdi.llnl.gov	198.128.245.178	
www.awaresystems.be	46.30.215.2	
www.bmbf.de	93.191.166.200	
www.ceda.ac.uk	130.246.130.27	
www.ciesin.org	129.236.39.66	
www.climatechange2013.org	130.92.143.142	
www.cru.uea.ac.uk	35.178.178.142	ORG-BIG3-RIPE
www.dkrz.de	136.172.11.33	
www.ec.gc.ca	199.212.18.76	
www.ecad.eu	108.128.144.15	
www.esrl.noaa.gov	140.172.253.69	
www.gewex.org	198.46.93.181	
www.gov.uk	151.101.60.144	
www.igbp.net	188.126.72.138	
www.iiasa.ac.at	147.125.102.13	
www.ipcc-data.org	89.187.86.6	
www.ipcc.ch	104.20.24.161	
www.metoffice.gov.uk	104.82.199.79	
www.ncdc.noaa.gov	205.167.25.172	
www.scd.ucar.edu	128.117.225.5	
www.unidata.ucar.edu	128.117.149.20	
www.wcrp-climate.org	128.65.195.13	
zenodo.org	137.138.76.77	
