table,var,limit name,Max,Min,kind,status,basis
AERday,zg500,valid_max,20000,1000,new,proposed,
Amon,rsds,mean_absolute_valid ..,220,,update,robust,"Range set was too narrow, one model exceded by 0.08 W m-2."
Amon,rlds,valid_max,700,,update,robust,
Amon,rlus,mean_absolute,500,,update,robust,
Amon,rlus,valid_max,900,20,update,robust,
Amon,rsdt,mean_absolute_valid ..,400,265,update,robust,"Range set was too narrow. This was also a problem in CMIP5, but nor corrcected at that stage."
Amon,rlds,mean_absolute_valid ..,450,,update,robust,"Range set was too narrow, two models exceded by less than 5 W m-2. 40 models examined have a compact distribution."
Amon,tas,mean_absolute_valid ..,300,255,new,proposed,"Range set was too narrow, one model exceeds 300K in ssp585"
Amon,ts,mean_absolute_valid ..,300,255,new,proposed,"Range set was too narrow, one model exceeds 300K in ssp585"
Amon,ts,valid_max,345,170,new,proposed,"Range set was too narrow, one model exceeds 300K in ssp585"
Amon,tasmax,mean_absolute_valid ..,310,260,new,proposed,"Range set was too narrow, one model exceeds 300K in ssp585"
Amon,tasmin,mean_absolute_valid ..,300,250,new,proposed,"Range set was too narrow, one model exceeds 300K in ssp585"
Amon,rsdscs,copy Amon.rsds,,,new,,No range set .. variable is equivalent to rsds.
Amon,ua,valid_max_l0,80,-80,new,proposed,
Amon,ua,valid_max,250,-250,new,proposed,
Amon,ua,mean_absolute_valid,80,.1,new,proposed,
Amon,va,valid_max_l0,80,-80,new,proposed,
Amon,va,valid_max,250,-250,new,proposed,
Amon,va,mean_absolute_valid,40,.1,new,proposed,
Amon,zg,valid_max,250000,,new,proposed,
Amon,zg,mean_absolute_valid,250000,,new,proposed,
Amon,ta,valid_max_l0,340,150,new,proposed,
Amon,ta,valid_max,400,80,new,proposed,
Amon,ta,mean_absolute_valid,310,180,new,proposed,
Amon,tauv,valid_max,25,-25,new,proposed,
Omon,tos,valid_max,50,-8,new,proposed,
Omon,tos,mean_absolute_valid,35,8,new,proposed,
Omon,sos,mean_absolute_valid,40,18,new,proposed,
LImon,snd,valid_min,500,-0.01,new,proposed,
LImon,snd,mean_absolute_valid,20,,new,proposed,
LImon,snw,valid_min,2000000,-0.01,new,proposed,
LImon,snw,mean_absolute_valid,25000,,new,proposed,
Lmon,vCwd,valid_min,200,-0.01,new,proposed,
Lmon,cLeaf,valid_min,200,-0.01,new,proposed,
Lmon,cLitterAbove,valid_min,200,-0.01,new,proposed,
Lmon,cLitterBelow,valid_min,200,-0.01,new,proposed,
Lmon,cProduct,valid_min,200,-0.01,new,proposed,
Lmon,cRoot,valid_min,200,-0.01,new,proposed,
Lmon,cSoilFast,valid_min,200,-0.01,new,proposed,
Lmon,cSoilMedium,valid_min,200,-0.01,new,proposed,
Lmon,cSoilSlow,valid_min,200,-0.01,new,proposed,
Lmon,burntAreaFraction,valid_min,100.001,-0.001,new,proposed,Area fraction
Lmon,gpp,Valid_max,1E-06,-1E-09,new,proposed,
Lmon,lai,valid_min,16,0,,proposed,"Based on 6 models (3 institutions), but physical reasoning is against significantly larger values."
Lmon,landCoverFrac,valid_min,100.001,-0.001,,proposed,Area fraction
Lmon,nbp,valid_min,1E-06,-1E-06,,proposed,Based on only 3 models
Lmon,ra,valid_min,1E-06,-1E-09,,proposed,
Lmon,rh,valid_min,1E-06,-1E-09,,proposed,
Lmon,mrsos,valid_min,120.,-1E-09,new,proposed,
Lmon,tsl,--------------,,,,,
Amon,clt,valid_max,100.2,-0.001,update,robust,"Two models exceed the CMIP6 limit fo 100.001, with values up to 100.034%."
Amon,co2,Valid_max,0.005,5E-05,new,proposed,generous limits ? for troposphere.
Amon,evspsbl,Valid_max,0.002,-0.0001,new,proposed ,
Amon,pr,Valid_max,0.02,-0.0001,,proposed,Upper limit set was 0.0015 - highest model was double this. Log-normal distribution makes the upper limit a moving target.
Amon,pr,mean_absolute_valid ..,0.0001,,,proposed,Upper limit of mean absolute was OK for historical .. but models got close.
Amon,prsn,Valid_max,0.002,,,proposed,"OK, but close"
Amon,prsn,mean_absolute_valid,8.e06,.4e-6,,proposed,"OK, but close"
Amon,prw,Valid_max,120,,,proposed,"OK, but close"
Amon,prw,mean_absolute_valid ..,35,,,proposed,"OK, but close"
Amon,tauu,Valid_max,25,-25,new,proposed,Range set was too narrow.            
day,pr,valid_max,0.04,-0.0001,,proposed,Upper limit set was 0.0015 - highest model was double this. Log-normal distribution makes the upper limit a moving target.
Amon,huss,valid_max,0.5,-0.001,new,proposed,
Amon,hus,valid_max,0.5,-0.001,new,proposed,
Amon,huss,mean_absolute_valid,0.300,,new,proposed,
Amon,hus,mean_absolute_valid,0.300,,new,proposed,
Amon,hur,mean_absolute_valid,,0.000001,new,proposed,
Amon,hur,valid_max,200.,,new,proposed,
3hr,huss,valid_max,0.1,-0.001,new,proposed,
3hr,tas,valid_max,345,170,new,proposed,
3hr,vas,valid_max,80,-80,new,proposed,
3hr,uas,valid_max,80,-80,new,proposed,
day,mrro,valid_max,0.03,-0.001,new,proposed,
day,sfcWindmax,valid_max,80,0,new,proposed,
day,zg,valid_max,1200,-1000,new,proposed,
day,psl,valid_max,120000,85000,new,proposed,
day,hurs,valid_max,110,-0.01,new,proposed,
day,hurs,mean_absolute_valid ..,95,10,new,proposed,
day,huss,valid_max,0.05,-0.01,new,proposed,
day,huss,mean_absolute_valid ..,0.02,0.001,new,proposed,
